seed,onset_year,final_neoplastic_pct,year_25pct,year_50pct,year_90pct
100033,-1,0.00,-1,-1,-1
100034,-1,0.00,-1,-1,-1
100035,37,52.04,47,50,-1
100036,47,55.56,56,64,-1
100037,-1,0.00,-1,-1,-1
100038,-1,0.00,-1,-1,-1
100039,57,52.94,67,74,-1
100040,37,52.63,44,49,-1
100041,44,55.00,50,55,-1
100042,-1,0.00,-1,-1,-1
100043,53,50.91,60,63,-1
100044,51,57.89,58,64,-1
100045,40,52.53,48,54,-1
100046,41,54.46,49,55,-1
100047,48,51.56,54,60,-1
100048,-1,0.00,-1,-1,-1
100049,-1,0.00,-1,-1,-1
100050,66,51.85,76,80,-1
100051,46,54.88,53,58,-1
100052,50,54.05,57,62,-1
100053,-1,0.00,-1,-1,-1
100054,51,52.17,60,66,-1
100055,36,50.00,44,49,-1
100056,-1,0.00,-1,-1,-1
100057,-1,0.00,-1,-1,-1
100058,30,50.00,39,43,-1
100059,51,50.00,57,62,-1
100060,38,54.17,47,51,-1
100061,46,50.65,51,56,-1
100062,-1,0.00,-1,-1,-1
100063,-1,0.00,-1,-1,-1
100064,47,50.00,56,60,-1
100065,31,51.85,37,43,-1
100066,-1,0.00,-1,-1,-1
100067,-1,0.00,-1,-1,-1
100068,35,50.00,41,46,-1
100069,61,50.00,66,69,-1
100070,37,51.32,46,52,-1
100071,62,33.33,79,-1,-1
100072,63,50.00,70,76,-1
100073,55,50.00,62,67,-1
100074,-1,0.00,-1,-1,-1
100075,-1,0.00,-1,-1,-1
100076,47,55.42,54,59,-1
100077,33,50.33,39,45,-1
100078,48,52.94,58,64,-1
100079,49,52.05,55,60,-1
100080,75,25.00,79,-1,-1
100081,54,52.38,62,66,-1
100082,41,53.61,48,53,-1
100083,48,50.79,56,61,-1
100084,26,54.07,34,38,-1
100085,48,50.68,59,63,-1
100086,-1,0.00,-1,-1,-1
100087,34,50.00,42,47,-1
100088,33,52.14,40,44,-1
100089,-1,0.00,-1,-1,-1
100090,54,52.94,63,67,-1
100091,45,54.05,55,60,-1
100092,43,52.24,52,58,-1
100093,68,53.33,76,78,-1
100094,-1,0.00,-1,-1,-1
100095,45,50.63,55,59,-1
100096,54,52.94,63,67,-1
100097,39,50.47,46,50,-1
100098,39,56.41,47,53,-1
100099,-1,0.00,-1,-1,-1
100100,35,54.90,43,49,-1
100101,48,51.39,53,58,-1
100102,38,52.38,50,56,-1
100103,-1,0.00,-1,-1,-1
100104,50,52.54,58,63,-1
100105,45,50.00,54,59,-1
100106,-1,0.00,-1,-1,-1
100107,60,50.00,67,72,-1
100108,42,51.32,49,55,-1
100109,-1,0.00,-1,-1,-1
100110,33,52.43,44,50,-1
100111,32,52.38,41,44,-1
100112,42,51.39,51,57,-1
100113,77,10.53,-1,-1,-1
100114,31,53.68,40,46,-1
100115,-1,0.00,-1,-1,-1
100116,35,52.54,43,48,-1
100117,-1,0.00,-1,-1,-1
100118,54,50.00,66,68,-1
100119,46,50.00,54,60,-1
100120,41,51.76,50,56,-1
100121,-1,0.00,-1,-1,-1
100122,50,51.85,59,62,-1
100123,74,22.22,-1,-1,-1
100124,42,50.88,52,58,-1
100125,-1,0.00,-1,-1,-1
100126,31,50.68,38,43,-1
100127,-1,0.00,-1,-1,-1
100128,43,50.00,53,59,-1
100129,54,57.38,64,71,-1
100130,44,50.68,52,57,-1
100131,43,51.19,49,54,-1
100132,59,50.00,66,74,-1
100133,-1,0.00,-1,-1,-1
100134,70,26.67,80,-1,-1
100135,51,50.82,57,60,-1
100136,43,54.65,49,54,-1
100137,56,57.89,63,68,-1
100138,56,50.00,67,74,-1
100139,-1,0.00,-1,-1,-1
100140,41,55.77,54,60,-1
100141,37,52.87,48,53,-1
100142,-1,0.00,-1,-1,-1
100143,-1,0.00,-1,-1,-1
100144,33,50.89,42,47,-1
100145,29,56.00,39,44,-1
100146,33,55.00,41,46,-1
100147,42,51.56,49,55,-1
100148,-1,0.00,-1,-1,-1
100149,39,52.27,47,52,-1
100150,-1,0.00,-1,-1,-1
100151,-1,0.00,-1,-1,-1
100152,-1,0.00,-1,-1,-1
100153,41,50.68,48,52,-1
100154,49,53.23,60,64,-1
100155,-1,0.00,-1,-1,-1
100156,41,52.38,48,52,-1
100157,-1,0.00,-1,-1,-1
100158,-1,0.00,-1,-1,-1
100159,-1,0.00,-1,-1,-1
100160,32,53.74,41,46,-1
100161,34,53.33,40,46,-1
100162,47,51.25,57,61,-1
100163,32,51.88,41,46,-1
100164,48,52.63,55,59,-1
100165,31,54.48,38,44,-1
100166,-1,0.00,-1,-1,-1
100167,-1,0.00,-1,-1,-1
100168,74,20.00,-1,-1,-1
100169,42,52.17,54,60,-1
100170,39,53.54,47,52,-1
100171,29,54.00,37,42,-1
100172,-1,0.00,-1,-1,-1
100173,-1,0.00,-1,-1,-1
100174,54,54.29,61,67,-1
100175,-1,0.00,-1,-1,-1
100176,56,55.26,61,66,-1
100177,58,50.88,66,70,-1
100178,36,55.64,43,48,-1
100179,41,50.50,51,59,-1
100180,-1,0.00,-1,-1,-1
100181,-1,0.00,-1,-1,-1
100182,-1,0.00,-1,-1,-1
100183,-1,0.00,-1,-1,-1
100184,-1,0.00,-1,-1,-1
100185,-1,0.00,-1,-1,-1
100186,-1,0.00,-1,-1,-1
100187,-1,0.00,-1,-1,-1
100188,56,53.85,66,71,-1
100189,46,56.00,55,61,-1
100190,51,51.79,59,63,-1
100191,-1,0.00,-1,-1,-1
100192,-1,0.00,-1,-1,-1
100193,-1,0.00,-1,-1,-1
100194,51,51.67,61,65,-1
100195,49,53.49,57,62,-1
100196,42,50.55,51,55,-1
100197,36,53.23,45,51,-1
100198,53,52.73,59,63,-1
100199,32,52.50,40,45,-1
100200,39,50.59,46,52,-1
100201,-1,0.00,-1,-1,-1
100202,-1,0.00,-1,-1,-1
100203,33,52.00,40,45,-1
100204,33,55.13,43,49,-1
100205,58,52.38,66,71,-1
100206,-1,0.00,-1,-1,-1
100207,47,54.32,55,60,-1
100208,-1,0.00,-1,-1,-1
100209,33,52.69,41,47,-1
100210,43,50.88,53,60,-1
100211,34,51.69,40,44,-1
100212,-1,0.00,-1,-1,-1
100213,-1,0.00,-1,-1,-1
100214,-1,0.00,-1,-1,-1
100215,-1,0.00,-1,-1,-1
100216,-1,0.00,-1,-1,-1
100217,44,52.94,52,56,-1
100218,-1,0.00,-1,-1,-1
100219,-1,0.00,-1,-1,-1
100220,39,54.00,46,51,-1
100221,26,50.71,35,39,-1
100222,-1,0.00,-1,-1,-1
100223,-1,0.00,-1,-1,-1
100224,32,51.13,41,45,-1
100225,71,40.74,75,-1,-1
100226,-1,0.00,-1,-1,-1
100227,53,51.22,68,73,-1
100228,54,51.43,61,66,-1
100229,35,50.00,45,50,-1
100230,43,50.00,49,55,-1
100231,35,54.40,42,48,-1
100232,-1,0.00,-1,-1,-1
100233,22,52.53,31,36,-1
100234,37,54.74,45,49,-1
100235,40,50.00,49,54,-1
100236,42,55.68,50,56,-1
100237,57,55.17,66,71,-1
100238,-1,0.00,-1,-1,-1
100239,-1,0.00,-1,-1,-1
100240,-1,0.00,-1,-1,-1
100241,54,53.06,60,65,-1
100242,-1,0.00,-1,-1,-1
100243,31,52.05,37,42,-1
100244,39,50.00,49,55,-1
100245,34,54.78,42,49,-1
100246,48,53.85,58,62,-1
100247,40,54.08,50,56,-1
100248,-1,0.00,-1,-1,-1
100249,50,53.01,57,61,-1
100250,-1,0.00,-1,-1,-1
100251,-1,0.00,-1,-1,-1
100252,64,50.00,72,78,-1
100253,43,51.35,52,56,-1
100254,-1,0.00,-1,-1,-1
100255,47,51.14,55,59,-1
100256,63,56.00,71,75,-1
100257,59,52.17,66,71,-1
100258,37,50.46,45,49,-1
100259,-1,0.00,-1,-1,-1
100260,71,40.00,77,-1,-1
100261,55,51.11,63,68,-1
